date,actor,action,data,commits
2007-11-07,project,project_started,""
2019-02-17,committer,started_contributing,James Couball
2019-02-17,committer,activity_between,James Couball,2019-02-17,1
2019-05-17,committer,left_project,James Couball,1
2019-08-17,project,project_idle,"{""Per Lundberg"":8,""Vern Burton"":5,""Rafael Reggiani Manzo"":1,""Richard Vodden"":1,""Alexander Maslov"":1,""Guilherme Maluf Balzana"":1,""Tom Potts"":1,""Denis Defreyne"":1,""Joshua Liebowitz"":2,""Taichiro Suzuki"":1,""Kelly Stannard"":1,""Matias Garcia Isaia"":1,""Kody"":1,""Stephen Paul Weber"":1,""Evgenii Pecherkin"":1,""James Couball"":1}",28
2019-09-20,project,project_active,""
2019-09-20,committer,started_contributing,Salim Afiune
2019-09-20,committer,activity_between,Salim Afiune,2019-09-20,1
2019-12-11,committer,started_contributing,James Couball
2019-12-11,committer,activity_between,James Couball,2020-02-02,6
2019-12-20,committer,left_project,Salim Afiune,1
2020-01-20,committer,started_contributing,Per Lundberg
2020-01-20,committer,activity_between,Per Lundberg,2020-01-20,1
2020-01-22,committer,started_contributing,cyclotron3k
2020-01-22,committer,activity_between,cyclotron3k,2020-01-22,1
2020-02-02,project,tag,v1.6.0,James Couball,"{""Vern Burton"":1,""Stephen Paul Weber"":1,""Evgenii Pecherkin"":1,""James Couball"":7,""Salim Afiune"":1,""Per Lundberg"":1,""cyclotron3k"":1}"
2020-02-04,committer,started_contributing,Yuta Harima
2020-02-04,committer,activity_between,Yuta Harima,2020-02-05,2
2020-02-06,committer,started_contributing,Harald
2020-02-06,committer,activity_between,Harald,2020-02-06,1
2020-02-10,committer,started_contributing,Marcel Hoyer
2020-02-10,committer,activity_between,Marcel Hoyer,2020-02-10,1
2020-02-10,project,last_data,"{""James Couball"":6,""Per Lundberg"":1,""cyclotron3k"":1,""Yuta Harima"":2,""Harald"":1,""Marcel Hoyer"":1}",13
