site_url,feed_url,old_feed_url,resolved,registered,created_on,updated_on,title,link,description,generator,entries,earliest_post,last_published
,http://mooseyard.com/Jens/feed/atom/,http://mooseyard.com/Jens/feed/atom/,69.163.161.182,true,1995-06-26 21:00:00 UTC,2020-05-25 07:24:10 UTC,Thought Palace,,,,,,
https://lemonodor.tumblr.com/,http://lemonodor.tumblr.com/rss,http://lemonodor.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Lemonodor Auxiliary,,,,,,
http://bitbq.com/blog,http://bitbq.com/blog/feed/,http://bitbq.com/blog/feed/,104.131.119.252,true,2009-08-06 22:22:05 UTC,2019-08-01 13:35:00 UTC,BitBQ Blog,,,,,,
https://wnycradiolab.tumblr.com/,http://wnycradiolab.tumblr.com/rss,http://wnycradiolab.tumblr.com/rss,74.114.154.22,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Radiolab,https://wnycradiolab.tumblr.com/,A show about curiosity.,Tumblr (3.0; @wnycradiolab),20,2015-05-21 17:42:19 UTC,2016-08-16 18:45:53 UTC
https://prometheusfusionperfection.com,http://prometheusfusionperfection.com/feed/,http://prometheusfusionperfection.com/feed/,192.0.78.25,true,2009-04-10 20:59:42 UTC,,Prometheus Fusion Perfection,https://prometheusfusionperfection.com,"Developing Clean, Cheap, Open Source Energy with the Bussard Reactor.",http://wordpress.com/,10,2012-07-18 00:21:43 UTC,2013-07-07 18:26:46 UTC
https://www.oreilly.com/radar,http://feeds.feedburner.com/FourShortLinks,http://feeds.feedburner.com/FourShortLinks,23.192.21.184,true,1997-05-27 04:00:00 UTC,,Four Short Links – Radar,https://www.oreilly.com/radar,"Now, next, and beyond: Tracking need-to-know trends at the intersection of business and technology",https://wordpress.org/?v=5.3.4,60,2020-04-21 11:37:09 UTC,2020-06-25 11:28:11 UTC
http://kottke.org/,http://feeds.kottke.org/main,http://feeds.kottke.org/main,162.247.141.135,true,1998-12-26 05:00:00 UTC,2019-09-13 19:18:44 UTC,kottke.org,,,,,,
https://what-if.xkcd.com/145/,http://what-if.xkcd.com/feed.atom,http://what-if.xkcd.com/feed.atom,151.101.208.67,true,2003-01-26 02:25:10 UTC,,What If?,,"Answering your hypothetical questions with physics, every Tuesday.",,5,2016-01-30 00:00:00 UTC,2018-05-21 00:00:00 UTC
http://www.questionablecontent.net,http://www.questionablecontent.net/QCRSS.xml,http://www.questionablecontent.net/QCRSS.xml,104.31.8.174,true,2003-08-01 17:38:40 -0400,2017-07-29 14:13:51 -0400,QC RSS,http://www.questionablecontent.net,The Official QC RSS Feed,Feeder 3 3.7.2(3302); Mac OS X Version 10.15.3 (Build 19D76) http://reinventedsoftware.com/feeder/,728,2017-04-26 03:59:00 UTC,2020-06-26 00:58:33 UTC
https://www.wnycstudios.org/podcasts/radiolab/projects/podcasts,http://feeds.wnyc.org/radiolab,http://feeds.wnyc.org/radiolab,3.225.46.40,true,2015-08-13 17:36:43 UTC,2019-07-10 00:44:37 UTC,WNYC's Radio Lab,https://www.wnycstudios.org/podcasts/radiolab,Investigating a strange world.,,2,2020-04-06 16:00:00 UTC,2020-05-27 16:00:00 UTC
http://www.harkavagrant.com,http://www.rsspect.com/rss/vagrant.xml,http://www.rsspect.com/rss/vagrant.xml,69.163.225.80,true,2009-03-05 14:22:43 UTC,2020-03-06 08:27:38 UTC,"Hark, A Vagrant!",http://www.harkavagrant.com,"Hark, A Vagrant! by Kate Beaton","Hark, A Vagrant!",10,,
http://geeksjournal1976.blogspot.com/,http://geeksjournal1976.blogspot.com/feeds/posts/default,http://geeksjournal1976.blogspot.com/feeds/posts/default,172.217.11.1,true,2000-07-31 00:00:00 -0700,2019-06-29 02:36:23 -0700,A Geek's Journal-1976,http://geeksjournal1976.blogspot.com/,What if there had been blogs in 1976? I would most definitely have had one and this might well have been it. This blog is based on my actual journal kept in 1976.,Blogger,25,2011-12-16 05:19:00 UTC,2013-05-14 14:24:00 UTC
https://willschenk.com/,http://willschenk.com/feed.xml,http://willschenk.com/feed.xml,185.199.108.153,true,2014-10-31 13:38:00 UTC,2019-10-02 07:37:06 UTC,Will Schenk,https://willschenk.com/,Recent content on Will Schenk,Hugo -- gohugo.io,74,0001-01-01 00:00:00 UTC,2020-06-17 00:00:00 UTC
http://www.ftrain.com/,http://www.ftrain.com/xml/feed/rss.xml,http://www.ftrain.com/xml/feed/rss.xml,76.76.21.21,true,1999-01-08 00:00:00 UTC,2020-03-25 16:46:36 UTC,Ftrain.com,,,,,,
https://labnotes.org/,http://blog.labnotes.org/feed/,http://blog.labnotes.org/feed/,138.68.199.28,true,2005-08-07 00:01:04 UTC,2019-11-20 17:51:05 UTC,Labnotes,https://labnotes.org/,"🔥 Software design and development, people and management, culture and technology. A mix of insightful, informative, and funny. Goes great with coffee. ☕️",Ghost 3.21,15,2020-04-05 04:21:55 UTC,2020-06-20 23:58:25 UTC
http://www.redhookgreen.com/,http://www.redhookgreen.com/feeds/posts/default,http://www.redhookgreen.com/feeds/posts/default,172.217.6.211,true,2009-10-26 20:07:15 UTC,,RedhookGreen,http://www.redhookgreen.com/,"How do you live a more ‘green-ish’ lifestyle, while being practical about it?",Blogger,25,2009-11-10 18:13:00 UTC,2013-05-24 19:56:00 UTC
